Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
ES;Asturias;ES1974A;43.5165879994638, -5.67065;O3;EEA Spain;µg/m³;73.0;2023-08-10T07:00:00+10:00;Spain
ES;Valencia/València;ES1917A;40.0994444394707, -1.25388888;NO2;EEA Spain;µg/m³;6.0;2023-08-10T07:00:00+10:00;Spain
IT;Pistoia;IT1553A;43.91611, 11.00694;PM2.5;EEA Italy;µg/m³;5.0;2023-08-09T10:00:00+10:00;Italy
IN;;Employment Office, Moradabad - UPPCB;28.885279999999998, 78.73879999999998;NO2;caaqm;µg/m³;10.15;2022-10-31T12:00:00+10:00;India
TW;臺中市;Dali;24.099611, 120.677689;SO2;Taiwan;ppm;0.0031;2021-05-17T15:00:00+10:00;Taiwan, China
PL;Strzegom;Strzegom;50.969633, 16.348469;NO2;GIOS;µg/m³;5.31377;2023-06-15T09:00:00+10:00;Poland
IN;;Jhunsi, Prayagraj - UPPCB;25.425602, 81.917152;SO2;caaqm;µg/m³;24.21;2022-10-17T02:00:00+10:00;India
CZ;Olomoucký;CZ0MPRR;49.4516563415527, 17.454158782959;PM2.5;EEA Czech Republic;µg/m³;11.4;2023-08-10T06:00:00+10:00;Czech Republic
IN;;Mirchaibari, Katihar - BSPCB;25.560082999999995, 87.553265;PM2.5;caaqm;µg/m³;108.0;2022-10-17T01:45:00+10:00;India
BR;Santa Gertrudes;Santa Gertrudes;-22.45995527, -47.53629834;NO2;Sao Paulo CETESB;µg/m³;28.0;2023-04-06T01:00:00+10:00;Brazil
DE;Sachsen;DESN091;50.720405, 12.486621;NO2;EEA Germany;µg/m³;7.835;2023-07-14T20:00:00+10:00;Germany
AT;;Bockberg;46.8730674222488, 15.495040335777626;SO2;EEA Austria;µg/m³;2.0;2016-12-12T19:00:00+10:00;Austria
IN;;Knowledge Park - III, Greater Noida - UPPCB;28.47272, 77.48199999999999;NO2;caaqm;µg/m³;36.0;2022-10-31T12:00:00+10:00;India
ES;Asturias;ES2051A;43.4015009994639, -5.8028699999999995;CO;EEA Spain;µg/m³;500.0;2023-08-10T07:00:00+10:00;Spain
BR;São Paulo;Ibirapuera;-23.59184199, -46.6606875;PM2.5;Sao Paulo CETESB;µg/m³;7.0;2023-02-16T10:00:00+10:00;Brazil
TR;Erzurum;Erzurum - Palandöken;39.867691, 41.275272;O3;Turkiye;µg/m³;116.668;2023-05-31T10:00:00+10:00;Turkey
US;MAHONING;Youngstown State;;O3;AirNow;ppm;0.035;2022-03-28T15:00:00+10:00;United States
FR;Eure-et-Loir;FR34041;48.4444108249153, 1.51014884098049;PM2.5;EEA France;µg/m³;3.6;2023-08-10T07:00:00+10:00;France
TR;Karabük;75. Yıl;41.1966352863621, 32.621708242253;NO2;Turkey;µg/m³;0.0;2018-04-03T08:00:00+10:00;Turkey
PL;Szczecin;Szczecin, ul. Piłsudskiego;53.432168999999995, 14.5539;BC;GIOS;µg/m³;0.1944;2023-06-15T09:00:00+10:00;Poland
DE;Nordrhein-Westfalen;DENW021;51.525963, 6.976908;O3;EEA Germany;µg/m³;63.102;2023-07-14T20:00:00+10:00;Germany
FR;Territoire de Belfort;FR82020;47.6406581072673, 6.85927499810427;NO2;EEA France;µg/m³;17.2;2023-08-10T07:00:00+10:00;France
TR;Kocaeli;Kocaeli - Kandıra-MTHM;41.13075, 30.00658;NO2;Turkiye;µg/m³;8.649;2023-05-31T10:00:00+10:00;Turkey
BE;;BETWOL1;50.85657799999999, 4.425704;NO2;EEA Belgium;µg/m³;25.5;2020-12-08T11:00:00+10:00;Belgium
TH;Nakhon Phanom;Meteorological stations, Nakhon Phanom;17.412345, 104.7786123;PM2.5;Air4Thai;µg/m³;19.0;2023-05-31T10:00:00+10:00;Thailand
IL;;תחנה:ק.מוצקין בגין;32.46043999999998, 35.06914800000001;NO2;Israel;ppm;0.0196;2019-04-04T07:00:00+10:00;Israel
ZA;Waterberg;Mokopane;-24.155951, 28.984199;O3;South Africa;ppm;0.025083;2023-05-31T09:00:00+10:00;South Africa
US;Portland-Vancouver-Beaverton;Roosevelt High Schoo;45.5901, -122.73762;PM2.5;AirNow;µg/m³;2.2;2023-05-31T09:00:00+10:00;United States
RS;Borski upravni okrug;RS0042A;44.059937, 22.101434;CO;EEA Servia;µg/m³;343.96;2023-06-15T20:00:00+10:00;Serbia
CZ;Jihočeský;CZ0CTAB;49.4112319946289, 14.6763887405395;NO;EEA Czech Republic;µg/m³;1.2;2023-08-10T08:00:00+10:00;Czech Republic
TW;彰化縣;Xianxi;24.131672, 120.469061;PM2.5;Taiwan;µg/m³;8.0;2021-05-17T15:00:00+10:00;Taiwan, China
US;Hilo;Hawaii Volcanoes NP;19.4308, -155.2578;SO2;AirNow;ppm;0.0;2023-05-31T09:00:00+10:00;United States
MX;San Luis Potosí;Industriales Potosinos Asociados;22.15125, -100.99611111111;CO;Sinaica Mexico;ppm;0.84614;2023-08-04T03:00:00+10:00;Mexico
MX;;Instituto Tecnológico de Nogales;31.293111111111, -110.95230555556;PM10;Sinaica Mexico;µg/m³;1.31046055555556;2021-04-15T07:00:00+10:00;Mexico
MX;Durango;ITD;24.034472222222004, -104.64502777778;CO;Sinaica Mexico;ppm;2.5094;2023-08-10T09:00:00+10:00;Mexico
US;St. Louis;Blair Street;38.656449, -90.198548;O3;AirNow;ppm;0.08;2023-05-31T03:00:00+10:00;United States
TR;Kayseri;Kayseri - OSB;38.740437, 35.375453;O3;Turkiye;µg/m³;17.915;2023-05-31T10:00:00+10:00;Turkey
IN;;Vijay Nagar, Ramanagara - KSPCB;12.733409, 77.298051;O3;caaqm;µg/m³;27.05;2022-10-31T12:00:00+10:00;India
ZA;City of Cape Town;Foreshore-NAQI;-33.913833, 18.425167;NOX;South Africa;ppm;0.02;2023-05-31T09:00:00+10:00;South Africa
US;Richmond;MATH & SCIENCE CTR;37.55652, -77.40027;SO2;AirNow;ppm;-0.0001;2023-05-31T09:00:00+10:00;United States
ES;Almería;ES1835A;36.9499999994838, -1.96148;O3;EEA Spain;µg/m³;77.0;2023-08-10T01:00:00+10:00;Spain
DE;Bremen;DEHB002;53.060045, 8.916966;PM10;EEA Germany;µg/m³;9.14;2023-08-10T07:00:00+10:00;Germany
IT;Roma;Civitavecchia;42.091629000000005, 11.802466;SO2;ARPALAZIO;µg/m³;2.7;2022-12-27T19:00:00+10:00;Italy
US;Salem;Turner - CJHS;44.81029, -122.915085;O3;AirNow;ppm;0.044;2023-05-31T09:00:00+10:00;United States
IN;;Diwator Nagar, Koppal - KSPCB;15.34763, 76.181767;O3;caaqm;µg/m³;96.97;2022-10-17T00:45:00+10:00;India
HU;EMI mobil 2;EMI mobil 2;48.099356, 20.727048999999997;SO2;hungary-nms;µg/m³;4.7;2023-08-09T10:00:00+10:00;Hungary
US;Salem;Woodburn Chemeketa C;45.143141, -122.854708;PM2.5;AirNow;µg/m³;2.5;2022-09-30T03:00:00+10:00;United States
PT;Porto;PT01021;41.199722, -8.644722;PM10;EEA Portugal;µg/m³;16.1;2023-06-15T15:00:00+10:00;Portugal
US;PROXY SITE - CA - CONSTANT;EBAM8 - Broadway W;38.8303, -122.722;PM2.5;AirNow;µg/m³;10.0;2018-11-04T06:00:00+10:00;United States
CA;QUEBEC;Saint-Hilaire-de-Dor;45.8156, -70.8597;O3;AirNow;ppm;0.019;2023-08-10T09:00:00+10:00;Canada
ES;Castellón/Castelló;ES1685A;40.0519444394709, -0.18972221999999997;PM2.5;EEA Spain;µg/m³;5.0;2023-08-10T07:00:00+10:00;Spain
GB;York;York Bootham;53.967513, -1.086514;PM2.5;DEFRA;µg/m³;3.0;2023-08-10T10:00:00+10:00;United Kingdom
US;AVERY;Linville Falls;35.972347, -81.933072;O3;AirNow;ppm;0.039;2023-05-31T09:00:00+10:00;United States
US;CLARK;Casino Center;36.174365, -115.13977;PM2.5;AirNow;µg/m³;8.6;2022-07-16T01:00:00+10:00;United States
BE;Antwerpen;BETR802;51.209518731980005, 4.43179223079244;PM2.5;EEA Belgium;µg/m³;4.7;2023-08-10T08:00:00+10:00;Belgium
TH;Chiang Mai;Mueang Na Subdistrict Municipality Office;19.593889, 98.961667;PM2.5;Air4Thai;µg/m³;14.0;2023-05-31T10:00:00+10:00;Thailand
RS;Beograd;Beograd Ada Marina;44.790166, 20.4169;NO2;serbia;µg/m³;33.851953666667;2023-06-15T07:00:00+10:00;Serbia
ES;Almería;ES1547A;37.2549699994822, -1.78174;SO2;EEA Spain;µg/m³;7.0;2023-08-10T07:00:00+10:00;Spain
CL;Nacimiento;Lautaro;-37.508937992394, -72.656092617752;O3;Chile - SINCA;µg/m³;45.49;2021-08-21T06:00:00+10:00;Chile
US;Clarksville;Clarksville;36.51282, -87.331;PM2.5;AirNow;µg/m³;8.0;2017-02-25T03:00:00+10:00;United States
XK;Mitrovica;Mitrovica;42.891794, 20.868936;CO;Kosovo;µg/m³;0.3;2023-05-26T08:00:00+10:00;
PL;Otwock;Otwock, ul. Brzozowa;52.115725, 21.237297;PM2.5;GIOS;µg/m³;13.7;2023-06-15T09:00:00+10:00;Poland
DE;Bayern;DEBY120;49.440478000000006, 11.036096;NO;EEA Germany;µg/m³;3.18;2023-08-10T07:00:00+10:00;Germany
US;RICHLAND;Sidney 201;47.8679, -104.676864;O3;AirNow;ppm;0.053;2023-05-31T09:00:00+10:00;United States
IN;;Nehru Nagar;26.470308800000005, 80.3251749;PM2.5;CPCB;µg/m³;167.0;2018-02-22T13:15:00+10:00;India
ZA;Sekhukhune;Dilokong;-24.615222, 30.171036;SO2;South Africa;ppm;0.000735;2023-03-31T03:00:00+10:00;South Africa
PL;Kalisz;Kalisz, ul. Wyszyńskiego;51.74795, 18.049063;PM10;GIOS;µg/m³;20.5839;2023-06-15T09:00:00+10:00;Poland
TR;Samsun;Canik;41.263215, 36.3523681;NO2;Turkey;µg/m³;18.0;2017-07-21T07:00:00+10:00;Turkey
US;Riverside-San Bernardino-Ontario;Phelan - Beekley Roa;34.425052, -117.589813;O3;AirNow;ppm;0.049;2023-05-31T09:00:00+10:00;United States
ZA;eThekwini Metro;Hambanathi Tongaat;-29.5574194444444, 31.1200638888889;SO2;South Africa;ppm;0.000397;2023-01-30T20:00:00+10:00;South Africa
US;Phoenix-Mesa-Scottsdale;South Scottsdale;33.4797, -111.9172;PM10;AirNow;µg/m³;16.0;2023-05-31T09:00:00+10:00;United States
FR;Savoie;FR33102;45.5966749434882, 5.91861313149136;PM10;EEA France;µg/m³;8.7;2023-02-02T10:00:00+10:00;France
RS;Loznica;Loznica;44.53224, 19.214534;O3;serbia;µg/m³;31.97985;2023-06-15T10:00:00+10:00;Serbia
US;Akron;East HS;41.063526, -81.468956;PM2.5;AirNow;µg/m³;13.7;2023-05-31T09:00:00+10:00;United States
FR;Eure-et-Loir;FR34046;48.7314125600919, 1.36388514642015;O3;EEA France;µg/m³;48.2;2023-08-10T07:00:00+10:00;France
US;Rock Springs;Wamsutter;41.6778, -108.0242;O3;AirNow;ppm;0.05;2023-05-31T01:00:00+10:00;United States
US;Cleveland-Elyria-Mentor;Berea BOE;41.36189, -81.864608;O3;AirNow;ppm;0.067;2023-05-31T09:00:00+10:00;United States
US;Lincolnton;CROUSE;35.4383, -81.2753;O3;AirNow;ppm;0.045;2019-08-13T01:00:00+10:00;United States
XK;Palaj;Palaj;42.677721, 21.052604;PM2.5;Kosovo;µg/m³;7.5;2023-05-26T08:00:00+10:00;
IN;;Shastri Nagar, Narnaul - HSPCB;28.060249, 76.113115;O3;caaqm;µg/m³;5.05;2022-10-31T12:00:00+10:00;India
ZA;Buffalo City Metro;Gompo;-33.014944, 27.849248;PM10;South Africa;µg/m³;226.951;2022-07-05T17:00:00+10:00;South Africa
US;CLAY;Vermillion;42.789453, -96.903867;PM2.5;AirNow;µg/m³;21.4;2023-01-09T01:00:00+10:00;United States
TH;Sukhothai;Le Thai Community Park;17.006059, 99.81927;PM2.5;Air4Thai;µg/m³;32.0;2023-05-22T05:00:00+10:00;Thailand
CA;QUEBEC;Parc de la Gatineau;45.6222, -76.0178;PM2.5;AirNow;µg/m³;11.5;2023-08-10T09:00:00+10:00;Canada
MY;;Kuala Lumpur;3.15675, 101.72145;PM2.5;AirNow;µg/m³;9.0;2023-08-10T08:00:00+10:00;Malaysia
DE;Sachsen;DESN075;50.486138000000004, 12.138054000000002;NO;EEA Germany;µg/m³;46.518;2023-07-13T15:00:00+10:00;Germany
MX;Juárez;Juárez;25.646111111111, -100.09555555556;NOX;Sinaica Mexico;ppm;0.0235;2023-08-10T09:00:00+10:00;Mexico
IN;;T T Nagar, Bhopal - MPPCB;23.233584000000004, 77.400574;PM10;caaqm;µg/m³;304.0;2022-10-17T02:00:00+10:00;India
AT;Salzburg;AT51200;47.8172222216881, 13.0308333333333;NO;EEA Austria;µg/m³;0.99772;2023-08-10T04:00:00+10:00;Austria
CO;Medellin;BEL-USBV - Universidad San Buenaventura;6.3306971, -75.5686722;PM10;Medellin;µg/m³;58.0;2023-08-10T00:00:00+10:00;Colombia
IL;;תחנה:מגל;32.47079, 34.9223;CO;Israel;ppm;0.7;2019-04-04T07:00:00+10:00;Israel
RS;Beočin;Beočin Centar;45.208386, 19.721709;PM2.5;serbia;µg/m³;6.9216666666667;2023-06-15T10:00:00+10:00;Serbia
ZA;City  of  Ekurhuleni;Springs-NAQI;-26.270361, 28.416005;CO;South Africa;ppm;0.01;2023-01-25T19:00:00+10:00;South Africa
TH;;The Government Publi;13.783185, 100.540489;CO;AirNow;ppm;0.38;2021-06-02T22:00:00+10:00;Thailand
AU;Tasmania Region;Hobart;-42.855, 147.315;PM10;Australia - Tasmania;µg/m³;3.0;2023-08-09T19:20:05+10:00;Australia
AU;Gladstone;Boyne Island;-23.9408, 151.3507;SO2;Australia - Queensland;ppm;0.002;2018-05-10T16:00:00+10:00;Australia
TH;Phichit;Phichit Provincial , Phichit;16.442554, 100.322756;O3;Air4Thai;ppm;0.039;2023-05-31T03:00:00+10:00;Thailand
CA;ALBERTA;Hinton;53.2536, -117.3153;PM2.5;AirNow;µg/m³;2.2;2023-08-10T09:00:00+10:00;Canada
ES;Sevilla;ES0890A;37.394519999481595, -6.0031;O3;EEA Spain;µg/m³;45.0;2023-08-10T07:00:00+10:00;Spain
IN;;Vijay Nagar, Ramanagara - KSPCB;12.733409, 77.298051;CO;caaqm;µg/m³;980.0;2022-10-31T12:00:00+10:00;India
RS;Beograd;Beograd Borča;44.873952, 20.446585;SO2;serbia;µg/m³;5.2050110333333;2023-06-15T07:00:00+10:00;Serbia
ES;Salamanca;ES1618A;40.9791666594682, -5.66527777;CO;EEA Spain;µg/m³;100.0;2022-12-29T16:00:00+10:00;Spain
FR;Seine-Maritime;FR05090;49.5146953797856, 0.10064544780218301;PM10;EEA France;µg/m³;6.8;2023-08-10T07:00:00+10:00;France
US;Miami-Fort Lauderdale-Miami Beach;Miami Fire Station #;25.7947, -80.2156;PM10;AirNow;µg/m³;47.0;2023-05-30T17:00:00+10:00;United States
PL;Kościerzyna;Kościerzyna, ul. Targowa;54.120694, 17.975861;PM2.5;GIOS;µg/m³;8.72091;2023-06-15T09:00:00+10:00;Poland
IT;Roma;IT1836A;41.906389, 12.4475;NO2;EEA Italy;µg/m³;45.0;2023-08-10T09:00:00+10:00;Italy
ZA;Nkangala;Medupi;-23.738521, 27.540346;PM10;South Africa;µg/m³;33.053;2023-05-30T07:00:00+10:00;South Africa
HK;New Territories;Tsuen Wan;22.3716666666667, 114.114444444444;O3;Hong Kong;µg/m³;12.4;2023-05-31T10:00:00+10:00;Hong Kong, China
US;Yuba City;Yuba City;39.13868, -121.61884;PM10;AirNow;µg/m³;31.0;2023-05-31T09:00:00+10:00;United States
CL;Laja;Laja;-37.267803138651, -72.710695266724;O3;Chile - SINCA;µg/m³;94.45;2021-08-21T06:00:00+10:00;Chile
BR;Piracicaba;Piracicaba;-22.70122234, -47.64965269;NO2;Sao Paulo CETESB;µg/m³;10.0;2022-10-05T05:00:00+10:00;Brazil
IN;;Central School, Lucknow - CPCB;26.8821003, 80.9302753;CO;caaqm;µg/m³;1670.0;2022-10-31T11:45:00+10:00;India
CA;;Rivi�re-des-Prairies;45.6569, -73.575;O3;AirNow;ppm;0.027;2016-06-10T05:00:00+10:00;Canada
US;GBU;PM2.5 Mammoth Lakes;37.645812, -118.966484;PM2.5;AirNow;µg/m³;-1.0;2023-03-03T20:00:00+10:00;United States
TR;Artvin;Artvin - Hopa;41.466796, 41.49073;PM2.5;Turkiye;µg/m³;13.617;2023-05-13T16:00:00+10:00;Turkey
FR;Rhône;FR20017;45.7352883837178, 4.82979212506861;NO;EEA France;µg/m³;3.9;2023-08-10T07:00:00+10:00;France
IN;;IHBAS, Delhi - CPCB;28.6821, 77.305;SO2;CPCB;µg/m³;6.42;2018-02-22T12:45:00+10:00;India
IT;Viterbo;Acquapendente;42.736649, 11.876578;PM2.5;ARPALAZIO;µg/m³;5.0;2023-08-07T10:00:00+10:00;Italy
ES;Málaga;ES2031A;36.707299999485, -4.446;NO;EEA Spain;µg/m³;2.0;2023-08-10T07:00:00+10:00;Spain
AT;Tirol;AT72912;46.8191110994643, 12.766025;O3;EEA Austria;µg/m³;56.042;2023-08-10T04:00:00+10:00;Austria
US;Reno-Sparks;South Reno;39.469225, -119.775393;O3;AirNow;ppm;0.025;2023-05-30T16:00:00+10:00;United States
ZA;Richards Bay;eNseleni;;PM10;Richards Bay;µg/m³;11.0;2019-04-04T07:45:00+10:00;South Africa
DE;Nordrhein-Westfalen;DENW024;51.496527, 6.981045;NO2;EEA Germany;µg/m³;17.927;2023-07-14T20:00:00+10:00;Germany
FR;;FR34047;48.7608889994679, 1.233781;NO2;EEA France;µg/m³;13.58;2018-04-25T10:00:00+10:00;France
DE;Berlin;DEBE068;52.513606, 13.418833;PM10;EEA Germany;µg/m³;11.0;2023-08-10T07:00:00+10:00;Germany
MX;MEXICO STATE;Atizap�n;19.577, -99.2542;PM10;AirNow;µg/m³;64.0;2023-08-09T11:00:00+10:00;Mexico
US;Albuquerque;Del Norte;35.1353, -106.584702;CO;AirNow;ppm;0.2;2023-05-31T09:00:00+10:00;United States
PL;Kraków;Kraków, ul. Bulwarowa;50.069308, 20.053492000000002;CO;GIOS;µg/m³;446.77;2023-06-15T09:00:00+10:00;Poland
US;Los Angeles-Long Beach-Santa Ana;Compton;33.9014, -118.205;PM2.5;AirNow;µg/m³;7.3;2023-05-31T09:00:00+10:00;United States
MX;Atotonilco de Tula;Primaria Revolución;20.006666666667, -99.21888888888898;SO2;Sinaica Mexico;ppm;0.0033937333333333;2023-08-10T09:00:00+10:00;Mexico
US;PHILADELPHIA;TOR;40.054171, -74.985166;PM2.5;AirNow;µg/m³;28.2;2023-05-31T09:00:00+10:00;United States
FR;Hérault;FR08020;43.675749353805905, 4.08842150423761;NO;EEA France;µg/m³;0.6;2023-08-10T07:00:00+10:00;France
AT;Wien;AT9JAEG;48.2701583328001, 16.2972633333333;NO;EEA Austria;µg/m³;0.48517701;2023-08-10T04:00:00+10:00;Austria
GB;Newham;Newham - Cam Road;51.537598, -0.002138;PM10;London Air Quality Network;µg/m³;10.0;2023-08-10T06:00:00+10:00;United Kingdom
CA;BRITISH COLUMBIA;Prince George Marsul;53.8416, -122.7344;SO2;AirNow;ppm;0.0;2023-08-09T11:00:00+10:00;Canada
IN;;Hebbal 1st Stage, Mysuru - KSPCB;12.3511441, 76.6249171;CO;caaqm;µg/m³;340.0;2020-01-03T21:15:00+10:00;India
SE;Skåne;SE0058A;55.5838899994997, 13.00806;NO2;EEA Sweden;µg/m³;9.47;2023-05-31T14:00:00+10:00;Sweden
LT;Kaunas;LT00042;55.0722219994964, 24.283894;O3;EEA Lithuania;µg/m³;53.28519199;2023-08-10T09:00:00+10:00;Lithuania
US;Casper;Casper Mobile;42.846297, -106.27767;PM2.5;AirNow;µg/m³;2.0;2018-01-25T03:00:00+10:00;United States
ES;Cádiz;ES1821A;36.7397499994849, -5.74372;SO2;EEA Spain;µg/m³;2.0;2023-08-10T07:00:00+10:00;Spain
US;Oxnard-Thousand Oaks-Ventura;Thousand Oaks - Moor;34.21017, -118.87051;PM2.5;AirNow;µg/m³;15.0;2022-09-30T04:00:00+10:00;United States
MX;JALISCO;Loma Dorada;20.629167, -103.263889;PM10;AirNow;µg/m³;93.0;2023-08-10T07:00:00+10:00;Mexico
US;MONTGOMERY;Candor FRO;35.263165, -79.836636;PM2.5;AirNow;µg/m³;5.0;2023-05-31T09:00:00+10:00;United States
AT;Niederösterreich;AT31413;48.0838888883553, 16.3302777777778;PM2.5;EEA Austria;µg/m³;1.70000004;2023-08-10T04:00:00+10:00;Austria
CZ;Liberecký;CZ0LLIL;50.7551002502441, 15.0699672698975;O3;EEA Czech Republic;µg/m³;29.1;2023-08-10T08:00:00+10:00;Czech Republic
MK;Cair Municipality;MK0043A;41.999169999466, 21.440839999999998;O3;EEA Macedonia;µg/m³;0.0;2023-05-26T21:00:00+10:00;Macedonia, The former Yugoslav Rep. of
AU;Tasmania Region;Gretna;-42.684, 146.936;PM2.5;Australia - Tasmania;µg/m³;1.0;2023-08-09T19:20:08+10:00;Australia
DE;Baden-Württemberg;DEBW038;47.660056, 9.485675;PM10;EEA Germany;µg/m³;12.4;2023-07-14T20:00:00+10:00;Germany
IT;Perugia;IT2067A;43.317778, 12.618611;SO2;EEA Italy;µg/m³;1.3;2023-08-10T09:00:00+10:00;Italy
IN;;Ashok Vihar, Delhi - DPCC;28.6957202, 77.1812947;SO2;caaqm;µg/m³;2.3;2018-05-12T14:30:00+10:00;India
TR;Manisa;Manisa - Salihli (Yeni);38.481532, 28.159941;NO2;Turkiye;µg/m³;25.73;2023-05-31T10:00:00+10:00;Turkey
IT;Potenza;IT2205A;40.315619, 15.9548;SO2;EEA Italy;µg/m³;2.995;2023-08-10T10:00:00+10:00;Italy
PL;Białystok;Białystok, al.Piłsudskiego;53.135285999999994, 23.161325;PM10;GIOS;µg/m³;24.5;2023-06-15T09:00:00+10:00;Poland
TW;桃園市;Guanyin;25.035503, 121.082761;NO2;Taiwan;ppm;0.0026;2021-05-17T15:00:00+10:00;Taiwan, China
CA;NEW BRUNSWICK;FREDERICTON-NEEDHAM;45.957344, -66.645562;PM2.5;AirNow;µg/m³;3.2;2023-08-10T09:00:00+10:00;Canada
MX;Zaragoza;Centro de Rehabilitación DIF;28.707666666667, -100.5265;NO2;Sinaica Mexico;ppm;0.0022433;2020-12-15T23:00:00+10:00;Mexico
AE;Al Ain;Al Ain Islamic Institute;24.219, 55.7348;NO2;adairquality-ae;µg/m³;6.06;2023-07-13T18:00:00+10:00;United Arab Emirates
PT;Lisboa;PT03071;38.768889, -9.108056;NO2;EEA Portugal;µg/m³;13.4;2023-06-15T15:00:00+10:00;Portugal
RS;Čačak;Čačak;43.893316, 20.345513;NO2;serbia;µg/m³;6.0798338333333;2023-06-15T10:00:00+10:00;Serbia
AT;;AT31904;48.2763888883668, 15.935;PM10;EEA Austria;µg/m³;20.0;2020-12-04T18:00:00+10:00;Austria
DE;;Schleswig;54.5273, 9.549379;O3;EEA Germany;µg/m³;24.6;2017-01-06T19:00:00+10:00;Germany
SE;Stockholm;Norrlandsgatan;59.33635627, 18.07062632;PM10;Sweden;µg/m³;13.5918;2018-01-08T19:00:00+10:00;Sweden
AU;Tasmania Region;Ti Tree Bend;-41.419, 147.124;PM10;Australia - Tasmania;µg/m³;6.0;2023-08-09T19:22:05+10:00;Australia
IN;;IITG, Guwahati - PCBA;26.2028636, 91.70046436;PM2.5;caaqm;µg/m³;22.7;2022-10-16T22:15:00+10:00;India
TR;İstanbul;İstanbul - Sultangazi 3;41.1142960508547, 28.8519385438115;PM2.5;Turkiye;µg/m³;12.373;2022-10-26T21:00:00+10:00;Turkey
TR;Ankara;Ankara - Ulus;39.9400835480569, 32.8498997485429;O3;Turkiye;µg/m³;31.637;2023-05-03T20:00:00+10:00;Turkey
IT;Rimini;IT1915A;43.932778, 12.6275;O3;EEA Italy;µg/m³;108.0;2023-08-10T08:00:00+10:00;Italy
US;New York-Northern New Jersey-Long Island;Rahway PM;40.603943, -74.276176;PM2.5;AirNow;µg/m³;37.4;2023-05-31T06:00:00+10:00;United States
CY;Λευκωσία - Κυκλοφοριακός Σταθμός;Nicosia - Traffic Station;35.15192246950294, 33.347919957077806;CO;Republic of Cyprus Department of Labor Inspection;µg/m³;243.3127;2023-08-10T10:00:00+10:00;Cyprus
BR;Rio de Janeiro;Campo Grande;-22.8862, -43.5567;NOX;rio-city-hall;µg/m³;32.13;2023-08-10T10:00:00+10:00;Brazil
US;Brainerd;Brainerd;46.3944, -94.1433;O3;AirNow;ppm;0.056;2023-05-31T09:00:00+10:00;United States
CZ;Plzeňský;CZ0PKUJ;49.7220001220703, 13.618537902832;NO;EEA Czech Republic;µg/m³;1.6;2023-08-10T05:00:00+10:00;Czech Republic
BG;София (столица);BG0070A;42.637192, 23.243864;NO2;EEA Bulgaria;µg/m³;4.21;2023-08-10T09:00:00+10:00;Bulgaria
ZA;West Coast;Malmesbury;-33.4554, 18.7317;O3;South Africa;ppm;0.022451;2022-08-10T13:00:00+10:00;South Africa
US;Los Angeles-Long Beach-Santa Ana;Pasadena;34.13263, -118.127142;NO;AirNow;ppm;0.0004;2023-05-31T09:00:00+10:00;United States
SE;Västra Götaland;SE0004A;57.7086099995155, 11.97;PM2.5;EEA Sweden;µg/m³;-1.29747;2023-05-31T14:00:00+10:00;Sweden
CL;Quintero;Sur;-32.801440927101, -71.484100560852;O3;Chile - SINCA;µg/m³;40.91;2021-08-21T07:00:00+10:00;Chile
FR;Côtes-d'Armor;FR19061;48.5134875186338, -2.74952748902167;PM10;EEA France;µg/m³;6.6;2023-08-10T06:00:00+10:00;France
FR;Haute-Savoie;FR33201;45.89525737885, 6.11833556860965;NO2;EEA France;µg/m³;10.9;2023-08-10T07:00:00+10:00;France
US;Louisville;New Albany - 4H Road;38.3178, -85.8333;PM2.5;AirNow;µg/m³;17.9;2023-05-24T22:00:00+10:00;United States
US;Austin-Round Rock;Austin North Interst;30.35386, -97.69166;PM2.5;AirNow;µg/m³;12.0;2023-05-26T07:00:00+10:00;United States
DE;Niedersachsen;DENI028;51.50758, 10.23854;PM10;EEA Germany;µg/m³;2.61261;2023-08-10T07:00:00+10:00;Germany
US;Colorado Springs;Colorado Springs - U;38.9583, -104.8167;O3;AirNow;ppm;0.042;2023-05-31T00:00:00+10:00;United States
US;Huntington-Ashland;FIVCO;38.4592, -82.6339;PM2.5;AirNow;µg/m³;4.3;2023-05-31T09:00:00+10:00;United States
ZA;Nkangala;Phola;-25.995669, 29.038164;NO2;South Africa;ppm;0.007727;2023-05-30T07:00:00+10:00;South Africa
ES;Huelva;ES0785A;37.2672499994822, -6.91905;PM10;EEA Spain;µg/m³;36.55;2023-08-10T07:00:00+10:00;Spain
PL;Radomsko;Radomsko, ul. Rolna;51.067439, 19.448694;PM10;GIOS;µg/m³;21.0;2023-06-15T09:00:00+10:00;Poland
TR;Gaziantep;Gaziantep - Nizip;37.0099612677284, 37.8039598323619;PM2.5;Turkiye;µg/m³;18.96;2022-11-16T00:00:00+10:00;Turkey
DE;Hessen;DEHE052;50.221940999999994, 8.446079;PM2.5;EEA Germany;µg/m³;4.34325027;2023-07-14T20:00:00+10:00;Germany
ES;Alicante/Alacant;ES1968A;38.351111109477195, -0.51388888;O3;EEA Spain;µg/m³;75.0;2023-08-10T07:00:00+10:00;Spain
DE;Saarland;DESL019;49.416884, 6.552037;PM10;EEA Germany;µg/m³;21.28;2023-08-01T07:00:00+10:00;Germany
